height,ball,waterfall,length,shield,time
642,False,False,0,False,0.2081
483,False,False,0,False,0.5035
332,False,True,144,False,0.51
466,False,True,117,False,0.42
424,False,False,0,False,0.5416
542,False,False,0,False,0.3675
525,False,False,0,True,0.2755
525,False,False,0,False,0.3897
341,False,False,0,False,0.622
475,False,False,0,False,0.4756
533,False,False,0,False,0.3863
374,False,False,0,False,0.5867
601,False,False,0,False,0.2776
399,False,False,0,True,0.4888
399,False,False,0,False,0.6087
634,False,False,0,False,0.2215
382,False,False,0,False,0.587
583,False,False,0,False,0.308
651,False,False,0,False,0.193
500,False,True,123,False,0.37
357,True,True,100,False,0.55
467,True,False,0,False,0.4858
492,False,False,0,False,0.4534
550,False,False,0,False,0.355
567,False,False,0,False,0.3297
458,False,False,0,False,0.5038
500,False,False,0,False,0.4267
575,False,False,0,False,0.3164
349,False,False,0,False,0.6207
584,False,True,68,False,0.33
609,False,False,0,False,0.264
408,False,True,69,False,0.53
357,False,False,0,False,0.6108
408,False,False,0,False,0.5598
542,False,True,71,False,0.39
516,False,False,0,False,0.4074
558,False,False,0,False,0.3486
575,False,True,134,False,0.28
617,False,False,0,False,0.2493
366,False,False,0,False,0.6036
625,False,False,0,False,0.2367
592,False,False,0,False,0.2914
466,False,False,0,False,0.4852
433,False,False,0,False,0.5638
500,False,True,121,False,0.37
508,False,False,0,False,0.4619
466,True,True,64,False,0.47
416,False,False,0,False,0.5412
550,False,False,0,True,0.4088
449,False,False,0,False,0.5119
324,False,False,0,False,0.6431
441,False,False,0,True,0.5531
609,False,False,0,True,0.3226
391,True,True,100,False,0.50
558,False,False,0,True,0.4019
491,False,True,133,False,0.38
391,False,True,133,False,0.56
651,False,True,111,False,0.19
449,True,False,0,False,0.5044
634,False,False,0,True,0.2786
600,False,False,0,True,0.3323
441,False,False,0,False,0.5206
508,False,False,0,True,0.4652
341,False,True,112,False,0.56
542,False,True,103,False,0.31
617,True,True,104,False,0.22
558,True,False,0,False,0.3468
441,False,True,100,False,0.46
550,True,False,0,True,0.4127
408,False,False,0,True,0.5964
441,True,False,0,False,0.5149
399,False,True,76,False,0.53
651,True,False,0,False,0.1923
642,False,True,124,False,0.15
562,False,False,0,False,0.3442
625,True,True,121,True,0.2936
626,True,True,120,True,0.2923
559,False,True,116,False,0.28
441,False,True,121,False,0.49
626,False,True,90,False,0.21
550,False,True,91,False,0.33
458,False,False,0,True,0.5376
584,False,True,138,False,0.25
617,False,False,0,True,0.3067
642,False,True,81,False,0.18
567,True,False,0,False,0.3292
525,True,False,0,False,0.393
634,False,True,87,False,0.18
467,False,True,75,True,0.49
491,True,False,0,False,0.4556
374,False,True,93,False,0.55
416,False,True,117,False,0.48
424,False,True,76,True,0.57
575,False,True,83,True,0.32
332,False,False,0,True,0.6711
416,False,True,140,False,0.47
550,False,True,85,False,0.33
366,False,False,0,True,0.6335
332,False,False,0,False,0.6344
533,False,False,0,True,0.4302
567,True,True,84,True,0.34
391,False,False,0,False,0.5754
500,False,False,0,True,0.4821
634,True,False,0,False,0.2215
450,False,False,0,True,0.5497
508,False,True,86,False,0.40
542,True,False,0,False,0.3687
534,False,True,132,False,0.30
474,False,True,89,False,0.43
517,True,False,0,False,0.4074
349,False,True,120,False,0.52
382,False,False,0,True,0.6237
